suburb,collection_date,state_rank,state_decile,state_percentile,min_sa1_score,max_sa1_score
Algester,2025-07-14,269,6,51,912.9505825,1041.328421
Calamvale,2025-07-14,389,8,73,961.4808717,1144.140868
Parkinson,2025-07-14,396,8,75,989.2960834,1097.034412
Taringa,2025-07-21,487,10,92,1028.071105,1167.65251
Auchenflower,2025-07-21,515,10,97,1069.465267,1224.12736
St Lucia,2025-07-21,484,10,91,1023.223697,1174.089956
Milton,2025-07-21,522,10,98,1080.223764,1203.355699
Moggill,2025-07-28,482,10,91,1013.699947,1159.2857
Lake Manchester,2025-07-28,,,,,
Karana Downs,2025-07-28,462,9,87,1009.949481,1134.528196
Anstead,2025-07-28,530,10,100,1059.00204,1205.688785
Mount Crosby,2025-07-28,462,9,87,1009.949481,1134.528196
Kholo,2025-07-28,462,9,87,1009.949481,1134.528196
Chuwar,2025-07-28,360,7,68,941.9825718,1081.249021
Bellbowrie,2025-07-28,482,10,91,1013.699947,1159.2857
Pinjarra Hills,2025-07-28,530,10,100,1059.00204,1205.688785
Kenmore,2025-08-04,508,10,96,1044.279491,1172.054766
Brookfield,2025-08-04,529,10,100,1070.061316,1193.979497
Upper Brookfield,2025-08-04,529,10,100,1070.061316,1193.979497
Kenmore Hills,2025-08-04,529,10,100,1070.061316,1193.979497
Pullenvale,2025-08-04,530,10,100,1059.00204,1205.688785
Sinnamon Park,2025-08-11,501,10,94,958.767919,1179.600707
Riverhills,2025-08-11,412,8,78,970.2564329,1081.7797
Jindalee,2025-08-11,479,9,90,1037.265446,1147.838715
Jamboree Heights,2025-08-11,441,9,83,1007.816737,1119.692688
Mount Ommaney,2025-08-11,479,9,90,1037.265446,1147.838715
Middle Park,2025-08-11,441,9,83,1007.816737,1119.692688
Westlake,2025-08-11,511,10,96,1071.037047,1141.236501
Chapel Hill,2025-08-18,523,10,98,1055.051853,1191.353354
Fig Tree Pocket,2025-08-18,533,10,100,1137.579686,1213.012993
Indooroopilly,2025-08-18,492,10,93,998.3239459,1195.603701
Toowong,2025-08-18,507,10,95,1057.482053,1194.842517
Sherwood,2025-08-25,495,10,93,1002.353764,1169.859728
Sumner,2025-08-25,215,5,41,883.2416005,1052.318915
Oxley,2025-08-25,436,9,82,979.314824,1119.557346
Chelmer,2025-08-25,531,10,100,1120.832504,1191.989599
Corinda,2025-08-25,480,9,90,995.0912373,1157.018852
Seventeen Mile Rocks,2025-08-25,501,10,94,958.767919,1179.600707
Graceville,2025-08-25,531,10,100,1120.832504,1191.989599
Robertson,2025-09-01,355,7,67,959.6096718,1076.350916
Willawong,2025-09-01,437,9,82,1002.992297,1120.007033
Coopers Plains,2025-09-01,276,6,52,861.4470288,1029.202244
Larapinta,2025-09-01,437,9,82,1002.992297,1120.007033
Archerfield,2025-09-01,75,2,15,630.5693506,982.7421724
Acacia Ridge,2025-09-01,75,2,15,630.5693506,982.7421724
Macgregor,2025-09-01,300,6,57,947.3162801,1054.720938
Heathwood,2025-09-01,437,9,82,1002.992297,1120.007033
Pallara,2025-09-01,437,9,82,1002.992297,1120.007033
Forest Lake,2025-09-08,296,6,56,879.6085073,1084.725015
Wacol,2025-09-08,9,1,2,725.6563487,907.0074162
Richlands,2025-09-08,14,1,3,650.7015958,1041.104922
Darra,2025-09-08,215,5,41,883.2416005,1052.318915
Ellen Grove,2025-09-08,9,1,2,725.6563487,907.0074162
Doolandella,2025-09-15,230,5,44,890.3984918,1038.665032
Durack,2025-09-15,124,3,24,808.8346557,1027.017722
Inala,2025-09-15,14,1,3,650.7015958,1041.104922
Bracken Ridge,2025-10-06,312,6,59,856.8056718,1061.246673
Shorncliffe,2025-10-06,423,8,80,927.0346392,1192.027434
Bald Hills,2025-10-06,308,6,58,908.3068433,1119.733162
Brighton,2025-10-13,371,7,70,850.2408339,1104.306734
Deagon,2025-10-13,305,6,58,946.2407283,1038.259908
Sandgate,2025-10-13,423,8,80,927.0346392,1192.027434
Taigum,2025-10-13,259,5,49,845.9108727,1084.045175
Fitzgibbon,2025-10-13,259,5,49,845.9108727,1084.045175
Boondall,2025-10-20,325,7,61,950.9961321,1029.41084
Pinkenba,2025-10-20,475,9,89,934.9917582,1118.57369
Zillmere,2025-10-20,163,4,31,837.3083472,1022.695583
Nudgee Beach,2025-10-20,427,8,80,993.558334,1118.97681
Nudgee,2025-10-20,427,8,80,993.558334,1118.97681
Virginia,2025-10-20,443,9,83,944.3233173,1135.563517
Albion,2025-10-27,489,10,92,1041.964383,1153.366637
Geebung,2025-10-27,403,8,76,1016.730672,1084.467077
Kalinga,2025-10-27,481,10,91,980.0479428,1209.331027
Banyo,2025-10-27,427,8,80,993.558334,1118.97681
Northgate,2025-10-27,443,9,83,944.3233173,1135.563517
Wooloowin,2025-10-27,481,10,91,980.0479428,1209.331027
Ascot,2025-11-03,506,10,95,1042.070762,1207.978846
Hamilton,2025-11-03,498,10,94,1041.715244,1209.859137
Clayfield,2025-11-03,472,9,89,1028.994685,1202.880503
Hendra,2025-11-03,526,10,99,1103.294401,1190.272443
Lutwyche,2025-11-10,481,10,91,980.0479428,1209.331027
Wavell Heights,2025-11-10,502,10,95,1042.464712,1151.730252
Nundah,2025-11-10,417,8,79,973.8279262,1161.193888
Gordon Park,2025-11-10,470,9,89,1007.0502,1161.703836
Kedron,2025-11-17,470,9,89,1007.0502,1161.703836
Stafford,2025-11-17,362,7,68,887.3988007,1128.4091
Stafford Heights,2025-11-17,404,8,76,985.6594151,1107.71137
Chermside West,2025-11-24,429,9,81,1018.499252,1108.379429
Carseldine,2025-11-24,434,9,82,983.5066955,1103.032035
Chermside,2025-11-24,235,5,45,885.2149055,1057.818708
Bridgeman Downs,2025-12-01,513,10,97,955.4875024,1164.88886
Aspley,2025-12-01,422,8,80,731.06094,1147.315892
Mcdowall,2025-12-01,485,10,91,1044.643579,1126.40531
Ferny Grove,2025-12-08,473,9,89,910.4915456,1182.500773
Mitchelton,2025-12-08,459,9,86,816.3223127,1134.677805
Gaythorne,2025-12-08,442,9,83,950.7087943,1151.181436
Keperra,2025-12-08,299,6,56,926.0947771,1077.673583
Upper Kedron,2025-12-08,473,9,89,910.4915456,1182.500773
Teneriffe,2026-01-19,518,10,98,993.8794292,1192.464518
New Farm,2026-01-19,503,10,95,1020.569042,1205.124677
Newstead,2026-01-19,518,10,98,993.8794292,1192.464518
Spring Hill,2026-01-19,426,8,80,832.4959079,1090.569552
Brisbane City,2026-01-19,474,9,89,980.6500579,1166.36666
Fortitude Valley,2026-01-19,450,9,85,968.9551459,1157.200375
Alderley,2026-01-26,505,10,95,1018.380828,1188.89798
Ashgrove,2026-01-26,521,10,98,1019.134309,1197.060287
Grange,2026-01-26,528,10,99,1063.977673,1180.714343
Wilston,2026-01-26,524,10,99,1100.449698,1206.135978
The Gap,2026-02-02,504,10,95,1022.134651,1174.520866
Enoggera Reservoir,2026-02-02,490,10,92,1095.063638,1095.063638
Enoggera,2026-02-02,442,9,83,950.7087943,1151.181436
Newmarket,2026-02-02,493,10,93,1035.335492,1178.701467
Herston,2026-02-09,446,9,84,867.2429344,1137.877295
Windsor,2026-02-09,499,10,94,1018.121222,1216.165568
Kelvin Grove,2026-02-09,446,9,84,867.2429344,1137.877295
Everton Park,2026-02-09,438,9,83,979.129668,1104.519105
Bowen Hills,2026-02-09,518,10,98,993.8794292,1192.464518
Paddington,2026-02-16,522,10,98,1080.223764,1203.355699
Bardon,2026-02-16,532,10,100,1116.491342,1199.806649
Petrie Terrace,2026-02-16,474,9,89,980.6500579,1166.36666
Red Hill,2026-02-16,517,10,97,1074.610337,1172.725215
Balmoral,2026-02-23,516,10,97,1048.996776,1179.021071
Morningside,2026-02-23,488,10,92,1017.528249,1151.278176
Murarrie,2026-02-23,465,9,88,976.6691065,1152.90408
Cannon Hill,2026-02-23,486,10,92,768.4072907,1244.128729
Bulimba,2026-02-23,527,10,99,1093.562743,1186.275179
Hemmant,2026-03-02,273,6,52,530.5917367,1090.898077
Wynnum,2026-03-02,378,8,71,875.1739466,1127.556901
Hawthorne,2026-03-02,525,10,99,1084.159226,1198.603426
Lota,2026-03-02,440,9,83,933.8279779,1130.465828
Lytton,2026-03-02,,,,,
Wynnum West,2026-03-09,273,6,52,530.5917367,1090.898077
Belmont,2026-03-09,469,9,88,989.2146987,1131.442416
Chandler,2026-03-09,469,9,88,989.2146987,1131.442416
Gumdale,2026-03-09,469,9,88,989.2146987,1131.442416
Ransome,2026-03-09,469,9,88,989.2146987,1131.442416
Manly,2026-03-09,440,9,83,933.8279779,1130.465828
Manly West,2026-03-16,392,8,74,972.2119447,1138.948483
Tingalpa,2026-03-16,356,7,67,946.551529,1145.781097
Wakerley,2026-03-16,514,10,97,1026.22533,1183.553273
Mansfield,2026-03-23,372,7,70,909.8328465,1075.955527
Carina Heights,2026-03-23,393,8,74,929.6406341,1134.107752
Carina,2026-03-23,439,9,83,970.9963283,1117.482772
Carindale,2026-03-30,500,10,94,980.9144197,1173.971015
Camp Hill,2026-03-30,519,10,98,1082.611555,1186.385309
Kangaroo Point,2026-04-20,476,9,90,970.8069557,1167.417954
Highgate Hill,2026-04-20,466,9,88,964.6675675,1133.910379
West End,2026-04-20,496,10,93,945.4290162,1189.751129
South Brisbane,2026-04-20,478,9,90,988.2330201,1167.866193
Tennyson,2026-04-27,494,10,93,990.4038936,1190.551885
Yeerongpilly,2026-04-27,494,10,93,990.4038936,1190.551885
Dutton Park,2026-04-27,460,9,87,926.6580697,1113.278875
Fairfield,2026-04-27,460,9,87,926.6580697,1113.278875
Yeronga,2026-04-27,494,10,93,990.4038936,1190.551885
Annerley,2026-04-27,447,9,84,982.5875025,1134.982928
Woolloongabba,2026-05-04,468,9,88,1020.891978,1126.27379
Moorooka,2026-05-04,410,8,77,948.0174564,1120.265986
East Brisbane,2026-05-04,471,9,89,1019.398701,1164.297391
Rocklea,2026-05-04,75,2,15,630.5693506,982.7421724
Coorparoo,2026-05-11,497,10,94,936.4149422,1180.360651
Norman Park,2026-05-11,520,10,98,1078.212973,1176.942972
Seven Hills,2026-05-11,488,10,92,1017.528249,1151.278176
Holland Park West,2026-05-18,477,9,90,1014.392286,1148.397573
Greenslopes,2026-05-18,463,9,87,994.2417329,1158.946255
Holland Park,2026-05-18,461,9,87,915.7086387,1178.963254
Stones Corner,2026-05-18,463,9,87,994.2417329,1158.946255
Salisbury,2026-05-25,420,8,79,934.7981013,1081.838631
Tarragindi,2026-05-25,512,10,96,1072.460724,1166.275494
Nathan,2026-05-25,420,8,79,934.7981013,1081.838631
Mount Gravatt,2026-06-01,416,8,78,868.9742188,1158.196439
Mount Gravatt East,2026-06-01,416,8,78,868.9742188,1158.196439
Upper Mount Gravatt,2026-06-01,353,7,67,960.6124371,1088.819381
Mackenzie,2026-06-08,510,10,96,946.8016026,1161.710729
Eight Mile Plains,2026-06-08,408,8,77,706.4820764,1097.031526
Rochedale,2026-06-08,510,10,96,946.8016026,1161.710729
Burbank,2026-06-08,510,10,96,946.8016026,1161.710729
Wishart,2026-06-08,411,8,77,945.626548,1120.40869
Drewvale,2026-06-15,396,8,75,989.2960834,1097.034412
Runcorn,2026-06-15,301,6,57,936.1444402,1075.854115
Kuraby,2026-06-15,397,8,75,922.2235737,1111.324689
Stretton,2026-06-15,389,8,73,961.4808717,1144.140868
Sunnybank Hills,2026-06-22,309,6,58,825.2650715,1101.164275
Sunnybank,2026-06-22,263,5,50,894.1320818,1077.746138
Karawatha,2026-06-22,389,8,73,961.4808717,1144.140868
